Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-05-28,65.0755,65.424,64.9008,64.9008,784.3750000251
2020-05-29,65.424,65.424,64.9008,65.0755,452.0833333478
2020-06-01,65.9472,66.8198,65.424,65.7734,1146.8750000367
2020-06-02,66.1219,66.1219,64.5523,65.2502,736.4583333569
2020-06-03,65.7734,65.7734,65.2502,65.2502,3027.0833334302
2020-06-04,65.424,65.7734,65.0755,65.0755,645.833333354
2020-06-05,65.424,65.424,64.0282,64.9008,2937.500000094
2020-06-08,64.9008,64.9008,63.6797,64.5523,1946.8750000623
2020-06-09,64.5523,64.5523,63.8544,64.0282,982.2916666981
2020-06-10,64.5523,64.9008,64.3766,64.5523,364.583333345
2020-06-12,63.6797,64.5523,62.807,64.2029,5573.9583335117
2020-06-15,64.5523,64.5523,63.1565,63.8544,1318.7500000422
2020-06-16,64.0282,64.2029,63.1565,63.1565,2653.1250000849
2020-06-17,64.3766,64.7261,63.6797,64.5523,430.2083333471
2020-06-18,64.5523,64.5523,63.8544,63.8544,53.1250000017
2020-06-19,64.0282,64.7261,63.6797,63.6797,319.7916666769
2020-06-22,65.0755,65.0755,63.6797,63.6797,552.083333351
2020-06-23,64.3766,64.9008,64.3766,64.5523,391.6666666792
2020-06-24,64.5523,65.0755,64.5523,64.7261,570.8333333516
2020-06-25,64.7261,64.7261,63.8544,64.0282,296.8750000095
2020-06-26,65.0755,65.0755,64.0282,64.0282,547.9166666842
2020-06-29,64.5523,64.5523,64.3766,64.3766,85.4166666694
2020-06-30,64.5523,64.5523,63.6797,63.8544,886.4583333617
2020-07-01,64.2029,65.0755,64.0282,64.0282,1078.1250000345
2020-07-02,65.0755,65.0755,63.8544,64.5523,208.33333334
2020-07-03,64.5523,64.9008,63.8544,63.8544,444.7916666809
2020-07-06,64.9008,65.0755,63.8544,65.0755,370.8333333452
2020-07-07,64.9008,65.0755,64.5523,65.0755,321.8750000103
2020-07-08,64.7261,64.9008,63.6797,64.3766,1481.2500000474
2020-07-09,63.8544,64.5523,63.8544,64.3766,1356.2500000434
2020-07-10,64.3766,64.3766,63.6797,64.2029,376.0416666787
2020-07-13,64.3766,64.3766,63.8544,64.2029,104.16666667
2020-07-14,64.5523,64.5523,63.8544,63.8544,1134.3750000363
2020-07-15,64.5523,64.5523,63.6797,63.6797,870.8333333612
2020-07-16,64.0282,64.5523,63.6797,64.5523,165.6250000053
2020-07-17,64.0282,64.5523,63.8544,63.8544,780.2083333583
2020-07-20,64.0282,67.6925,64.0282,66.6451,4210.4166668014
2020-07-21,66.9946,66.9946,66.2966,66.6451,3836.4583334561
2020-07-22,66.6451,66.6451,66.2966,66.4714,3183.3333334352
2020-07-23,65.9472,66.6451,65.9472,66.2966,2838.5416667575
2020-07-24,66.4714,66.6451,66.2966,66.4714,1088.5416667015
2020-07-27,68.5642,68.9136,66.4714,66.8198,2261.4583334057
2020-07-28,66.8198,67.343,66.4714,66.9946,4232.2916668021
2020-07-29,67.343,67.343,66.4714,67.1693,1253.1250000401
2020-07-30,67.343,67.8662,66.6451,66.6451,2655.2083334183
2020-07-31,66.6451,67.6925,66.6451,67.6925,918.7500000294
2020-08-03,67.343,68.041,67.343,68.041,901.0416666955
2020-08-04,68.041,68.2157,67.6925,68.041,1726.0416667219
2020-08-05,68.2157,68.5642,67.6925,68.5642,1167.7083333707
2020-08-06,68.9136,70.1347,68.3904,68.9136,2126.0416667347
2020-08-07,68.9136,69.0883,68.2157,69.0883,6051.0416668603
2020-08-10,69.7853,70.4832,69.2621,70.3094,1187.500000038
2020-08-11,68.9136,70.3094,68.3904,70.3094,1322.916666709
2020-08-12,70.3094,70.3094,68.9136,69.2621,2421.8750000775
2020-08-13,69.2621,69.7853,68.9136,69.4368,776.0416666915
2020-08-14,69.4368,69.7853,68.9136,69.7853,1003.1250000321
2020-08-17,68.9136,69.7853,68.9136,69.7853,272.9166666754
2020-08-18,69.96,69.96,69.0883,69.0883,435.4166666806
2020-08-19,69.7853,69.7853,69.0883,69.0883,387.5000000124
2020-08-20,69.0883,69.6115,69.0883,69.2621,880.2083333615
2020-08-21,69.2621,69.7853,69.2621,69.7853,957.2916666973
2020-08-24,70.3094,70.3094,69.7853,69.7853,1138.5416667031
2020-08-25,70.3094,70.6589,70.1347,70.6589,2976.0416667619
2020-08-26,71.0074,71.1811,70.6589,71.1811,1915.6250000613
2020-08-27,71.3558,71.3558,70.4832,70.4832,1693.7500000542
2020-08-28,71.3558,71.5306,70.8326,71.1811,825.0000000264
2020-08-31,71.5306,72.4022,71.1811,72.4022,2304.1666667404
2020-09-01,72.4022,72.4022,71.5306,71.7043,2537.5000000812
2020-09-02,72.0538,72.0538,71.7043,71.88,1173.9583333709
2020-09-03,72.2285,73.2749,72.0538,72.7517,2126.0416667347
2020-09-04,72.4022,72.7517,70.6589,72.7517,1630.2083333855
2020-09-07,73.6234,73.6234,73.2749,73.4496,1145.83333337
2020-09-08,73.4496,73.4496,71.5306,71.7043,1653.1250000529
2020-09-09,72.4022,72.5779,71.7043,72.5779,1333.333333376
2020-09-10,72.4022,72.7517,72.4022,72.5779,1150.0000000368
2020-09-11,72.5779,72.7517,72.0538,72.2285,764.5833333578
2020-09-14,72.4022,73.2749,72.4022,73.2749,1122.9166667026
2020-09-15,73.1011,73.1011,70.6589,71.5306,2679.1666667524
2020-09-16,71.5306,73.2749,70.6589,73.2749,440.6250000141
2020-09-17,73.2749,73.2749,71.0074,72.4022,602.0833333526
